Player,Squad,Pos,Min,Min_num,low_min_flag,mf_post,mf_role,mf_role_proba,p_mf_role_DM_CONTROLLER,p_mf_role_DM_DEEP_CM,p_mf_role_DM_DESTROYER
Jorginho,arsenal,MF,704,704,False,DM,DM_CONTROLLER,0.999999999999,0.999999999999,2.7074869314177502e-17,1.8054839565682826e-34
Amadou Onana,aston villa,MF,1617,1617,False,DM,DM_DEEP_CM,0.9999715534673026,2.6281857323817328e-06,0.9999715534673026,2.5818345965051874e-05
Boubacar Kamara,aston villa,MF,1726,1726,False,DM,DM_CONTROLLER,0.9999999967330849,0.9999999967330849,3.3059212614653974e-10,2.9353230210030115e-09
Ross Barkley,aston villa,MF,581,581,True,DM,DM_DEEP_CM,0.999999999999,1.4896482808666394e-52,0.999999999999,4.720205917668571e-24
Alex Scott,bournemouth,MF,755,755,False,DM,DM_DEEP_CM,0.999999999999,3.9739436712528165e-22,0.999999999999,1.20715895615122e-26
Ryan Christie,bournemouth,MF,2117,2117,False,DM,DM_DEEP_CM,0.999999999999,7.737976667005506e-23,0.999999999999,1.0538716586010134e-38
Tyler Adams,bournemouth,MF,1965,1965,False,DM,DM_CONTROLLER,0.9999994039220297,0.9999994039220297,5.728847453814602e-07,2.319222493497867e-08
Christian Nørgaard,brentford,MF,2819,2819,False,DM,DM_DESTROYER,0.9999989630938131,8.047323353242716e-12,1.0368971395445213e-06,0.9999989630938131
Frank Onyeka,brentford,MF,25,25,True,DM,DM_DESTROYER,0.9998609694638477,0.0001390305351521407,4.544621772199656e-55,0.9998609694638477
Ryan Trevitt,brentford,MF,4,4,True,DM,DM_CONTROLLER,0.9999999999989999,0.9999999999989999,3.4915376815172157e-128,1.4826063616093701e-16
Vitaly Janelt,brentford,MF,2254,2254,False,DM,DM_DESTROYER,0.9960164795932697,0.00398352004235534,3.6337490839313514e-10,0.9960164795932697
Yehor Yarmoliuk,brentford,MF,1450,1450,False,DM,DM_CONTROLLER,0.9994545490229555,0.9994545490229555,0.0005454445250637559,6.450980652438907e-09
Carlos Baleba,brighton,MF,2661,2661,False,DM,DM_DEEP_CM,0.9999997398980227,2.6009691371906546e-07,0.9999997398980227,4.063569441789078e-12
Yasin Ayari,brighton,MF,1965,1965,False,DM,DM_DEEP_CM,0.9999999999989982,1.9878959639251586e-20,0.9999999999989982,1.7593874356937407e-15
Roméo Lavia,chelsea,MF,797,797,False,DM,DM_CONTROLLER,0.9999999987413964,0.9999999987413964,1.1966224303611723e-09,6.098106875861625e-11
Adam Wharton,crystal palace,MF,1318,1318,False,DM,DM_DEEP_CM,0.999999999999,1.025815818307689e-17,0.999999999999,2.6597678914872094e-45
Cheick Doucouré,crystal palace,MF,452,452,True,DM,DM_CONTROLLER,0.9414780536929348,0.9414780536929348,0.0004146767695669497,0.058107269536498155
Daichi Kamada,crystal palace,MF,1564,1564,False,DM,DM_DEEP_CM,0.9999999999936314,1.071185246608708e-12,0.9999999999936314,4.297453307593562e-12
Justin Devenny,crystal palace,MF,507,507,True,DM,DM_DESTROYER,0.9591083493784621,2.6832408565707074e-16,0.04089165062053762,0.9591083493784621
Will Hughes,crystal palace,MF,2108,2108,False,DM,DM_DEEP_CM,0.9999998199846353,1.7954763225185135e-07,0.9999998199846353,4.667325225107687e-10
Abdoulaye Doucouré,everton,MF,2564,2564,False,DM,DM_DESTROYER,0.999999999999,2.0097694307453864e-25,1.2634718809435792e-22,0.999999999999
Idrissa Gana Gueye,everton,MF,3063,3063,False,DM,DM_CONTROLLER,0.9999499652760865,0.9999499652760865,1.205243480306139e-06,4.88294794332032e-05
Orel Mangala,everton,MF,1261,1261,False,DM,DM_DESTROYER,0.9999999998141843,1.8481568919699022e-10,5.568854168578862e-19,0.9999999998141843
Tim Iroegbunam,everton,MF,574,574,True,DM,DM_CONTROLLER,0.9881444083461587,0.9881444083461587,2.0497587877191352e-32,0.011855591652841207
Sander Berge,fulham,MF,2224,2224,False,DM,DM_CONTROLLER,0.9999985180932512,0.9999985180932512,1.4818961564506503e-06,9.592295611774221e-12
Saša Lukić,fulham,MF,2344,2344,False,DM,DM_DEEP_CM,0.9844329482192762,0.015567051778553867,0.9844329482192762,1.1699669147722522e-12
Jack Taylor,ipswich town,MF,860,860,False,DM,DM_DEEP_CM,0.999980630129585,3.971219761025118e-06,0.999980630129585,1.5398649653895452e-05
Jens Cajuste,ipswich town,MF,1959,1959,False,DM,DM_DESTROYER,0.9996165159511571,0.00038348402214648963,2.5696495082973155e-11,0.9996165159511571
Kalvin Phillips,ipswich town,MF,1237,1237,False,DM,DM_CONTROLLER,0.9999611044050452,0.9999611044050452,4.843612572387381e-11,3.889554551870773e-05
Massimo Luongo,ipswich town,MF,201,201,True,DM,DM_CONTROLLER,0.9910242584521329,0.9910242584521329,1.9266972835648974e-33,0.008975741546867016
Sam Morsy,ipswich town,MF,2751,2751,False,DM,DM_CONTROLLER,0.9999994141526547,0.9999994141526547,4.903087020687134e-07,9.553764321659492e-08
Boubakary Soumaré,leicester city,MF,2171,2171,False,DM,DM_CONTROLLER,0.9999999998746706,0.9999999998746706,1.241273355076189e-10,2.0190026163322541e-13
Harry Winks,leicester city,MF,1538,1538,False,DM,DM_CONTROLLER,0.999999999999,0.999999999999,1.2022948386371881e-22,4.7063670790236045e-33
Oliver Skipp,leicester city,MF,1129,1129,False,DM,DM_DESTROYER,0.9998124388914834,0.0001875611073332622,1.8325267108374619e-13,0.9998124388914834
Wilfred Ndidi,leicester city,MF,2324,2324,False,DM,DM_DESTROYER,0.9999999993211904,5.541663855835068e-10,1.2364324748341554e-10,0.9999999993211904
Ryan Gravenberch,liverpool,MF,3160,3160,False,DM,DM_CONTROLLER,0.9999999962938875,0.9999999962938875,3.705112560769561e-09,2.0050496047631134e-28
Nicolás González,manchester city,MF,760,760,False,DM,DM_CONTROLLER,0.999999999999,0.999999999999,1.7892906046555614e-56,4.3604857965595304e-64
Casemiro,manchester utd,MF,1494,1494,False,DM,DM_DESTROYER,0.999999999999,3.314150552254218e-62,4.112691759983314e-70,0.999999999999
Kobbie Mainoo,manchester utd,MF,1651,1651,False,DM,DM_DEEP_CM,0.9999899239509815,3.698052173895254e-06,0.9999899239509815,6.3779958444901936e-06
Manuel Ugarte,manchester utd,MF,1785,1785,False,DM,DM_CONTROLLER,0.9999951824056215,0.9999951824056215,3.358270751168e-06,1.4593226273597872e-06
Toby Collyer,manchester utd,MF,179,179,True,DM,DM_CONTROLLER,0.9988815671188378,0.9988815671188378,9.285498727102685e-21,0.0011184328801620612
Lewis Miley,newcastle utd,MF,313,313,True,DM,DM_DEEP_CM,0.9844157489197517,0.015510630446535608,0.9844157489197517,7.36206327125923e-05
Sandro Tonali,newcastle utd,MF,2630,2630,False,DM,DM_DEEP_CM,0.999999999999,1.7821965881597596e-18,0.999999999999,2.110495613389535e-17
Sean Longstaff,newcastle utd,MF,798,798,False,DM,DM_DESTROYER,0.9999999966500068,2.8653648300517186e-09,4.836284137918641e-10,0.9999999966500068
Elliot Anderson,nott'ham forest,MF,2728,2728,False,DM,DM_DEEP_CM,0.9999999999989988,1.1904602007411616e-15,0.9999999999989988,7.194643370340608e-20
Ibrahim Sangaré,nott'ham forest,MF,590,590,True,DM,DM_CONTROLLER,0.9999999999882687,0.9999999999882687,5.700164428769611e-15,1.0725610443981687e-11
James Ward-Prowse,nott'ham forest,MF,400,400,True,DM,DM_DESTROYER,0.973441350423978,0.02655857711817028,7.24568517195473e-08,0.973441350423978
Ryan Yates,nott'ham forest,MF,1915,1915,False,DM,DM_DESTROYER,0.9999999999988457,1.729721338280267e-16,1.5407800803055486e-13,0.9999999999988457
Adam Lallana,southampton,MF,361,361,True,DM,DM_CONTROLLER,0.999999999999,0.999999999999,8.473149991491787e-24,1.3006585739650356e-37
Flynn Downes,southampton,MF,2151,2151,False,DM,DM_CONTROLLER,0.9993292740633694,0.9993292740633694,1.614984699845839e-06,0.0006691109509307644
Lesley Ugochukwu,southampton,MF,1655,1655,False,DM,DM_DESTROYER,0.9999736178656516,2.6370495392801992e-05,1.1637955609709099e-08,0.9999736178656516
Mateus Fernandes,southampton,MF,2909,2909,False,DM,DM_DEEP_CM,0.999999999999,1.0287813850501566e-18,0.999999999999,2.509877114516572e-20
Lucas Bergvall,tottenham,MF,1212,1212,False,DM,DM_CONTROLLER,0.9999979817696771,0.9999979817696771,2.0182293228446704e-06,3.341847452358591e-24
Pape Matar Sarr,tottenham,MF,1913,1913,False,DM,DM_DEEP_CM,0.999999999998155,1.8570255234570115e-23,0.999999999998155,8.449709652905198e-13
Rodrigo Bentancur,tottenham,MF,1645,1645,False,DM,DM_CONTROLLER,0.9999999999989998,0.9999999999989998,2.2196093235134593e-16,3.583728571803476e-28
Yves Bissouma,tottenham,MF,1408,1408,False,DM,DM_CONTROLLER,0.9999999999989967,0.9999999999989967,3.369998940805122e-15,5.607454911648046e-22
Andy Irving,west ham,MF,166,166,True,DM,DM_CONTROLLER,0.999999999999,0.999999999999,2.182984670196984e-46,4.0320991255072127e-48
Edson Álvarez,west ham,MF,1772,1772,False,DM,DM_CONTROLLER,0.9999999992142828,0.9999999992142828,7.847166145745022e-10,5.350274359827514e-16
Guido Rodríguez,west ham,MF,1149,1149,False,DM,DM_CONTROLLER,0.9999639598128921,0.9999639598128921,6.061450772114089e-13,3.604018550178024e-05
Tomáš Souček,west ham,MF,2567,2567,False,DM,DM_DESTROYER,0.999999999999,1.69751173972068e-62,1.9012452946812651e-31,0.999999999999
André,wolves,MF,2472,2472,False,DM,DM_CONTROLLER,0.9999999999987469,0.9999999999987469,2.438456042980581e-13,9.374757353108871e-15
João Gomes,wolves,MF,2974,2974,False,DM,DM_DEEP_CM,0.9999991012598205,8.98739133904904e-07,0.9999991012598205,4.560187435562698e-14
